INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
1,T,251213,142022,59.1157703N,18.1098780E,78,1.1,175
2,T,251213,142023,59.1157674N,18.1098803E,77,2.0,202
3,T,251213,142024,59.1157627N,18.1098823E,77,2.2,181
4,T,251213,142025,59.1157555N,18.1098860E,77,2.4,156
5,T,251213,142026,59.1157490N,18.1098914E,77,2.4,130
6,T,251213,142027,59.1157437N,18.1098957E,77,2.0,102
7,T,251213,142028,59.1157423N,18.1099030E,76,1.4,91
8,T,251213,142043,59.1157546N,18.1100983E,69,1.4,285
9,T,251213,142044,59.1157544N,18.1101150E,69,2.0,307
10,T,251213,142045,59.1157556N,18.1101335E,69,2.4,296
11,T,251213,142047,59.1157584N,18.1101536E,67,1.4,257
12,T,251213,142048,59.1157592N,18.1101589E,68,2.0,252
13,T,251213,142049,59.1157593N,18.1101616E,67,1.6,251
14,T,251213,142051,59.1157587N,18.1101617E,67,1.4,163
15,T,251213,142052,59.1157546N,18.1101576E,67,1.4,208
16,T,251213,142053,59.1157491N,18.1101503E,67,2.4,254
17,T,251213,142054,59.1157424N,18.1101409E,67,2.7,214
18,T,251213,142055,59.1157383N,18.1101340E,67,2.9,229
19,T,251213,142056,59.1157332N,18.1101243E,67,3.1,237
20,T,251213,142057,59.1157275N,18.1101114E,67,3.3,256
21,T,251213,142058,59.1157209N,18.1100969E,67,3.3,231
22,T,251213,142059,59.1157147N,18.1100844E,68,3.3,245
23,T,251213,142100,59.1157082N,18.1100755E,68,3.3,211
24,T,251213,142101,59.1157011N,18.1100687E,68,3.1,206
25,T,251213,142102,59.1156949N,18.1100656E,68,2.9,217
26,T,251213,142103,59.1156877N,18.1100603E,68,2.9,204
27,T,251213,142104,59.1156814N,18.1100553E,68,2.9,202
28,T,251213,142105,59.1156747N,18.1100485E,68,2.7,202
29,T,251213,142106,59.1156709N,18.1100382E,68,2.9,257
30,T,251213,142107,59.1156673N,18.1100227E,68,2.9,261
31,T,251213,142108,59.1156642N,18.1100076E,68,2.7,247
32,T,251213,142109,59.1156598N,18.1099951E,68,2.9,243
33,T,251213,142110,59.1156526N,18.1099838E,68,3.1,226
34,T,251213,142111,59.1156430N,18.1099683E,68,3.5,232
35,T,251213,142112,59.1156328N,18.1099537E,68,3.5,233
36,T,251213,142113,59.1156258N,18.1099436E,68,3.1,223
37,T,251213,142114,59.1156197N,18.1099363E,68,3.1,207
38,T,251213,142115,59.1156135N,18.1099330E,68,3.1,197
39,T,251213,142116,59.1156057N,18.1099321E,68,2.9,154
40,T,251213,142117,59.1155987N,18.1099365E,68,3.1,159
41,T,251213,142118,59.1155915N,18.1099439E,68,3.3,152
42,T,251213,142119,59.1155844N,18.1099541E,68,3.1,151
43,T,251213,142120,59.1155759N,18.1099625E,68,3.1,158
44,T,251213,142121,59.1155689N,18.1099704E,68,3.1,150
45,T,251213,142122,59.1155617N,18.1099772E,68,3.3,170
46,T,251213,142123,59.1155527N,18.1099869E,67,3.5,163
47,T,251213,142124,59.1155396N,18.1099984E,67,3.5,162
48,T,251213,142125,59.1155257N,18.1100118E,67,3.7,158
