INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
1,T,251129,152329,59.1157835N,18.1103217E,42,1.1,235
2,T,251129,152330,59.1157830N,18.1103178E,42,2.2,260
3,T,251129,152331,59.1157816N,18.1103085E,42,2.2,243
4,T,251129,152332,59.1157790N,18.1102949E,42,2.4,233
5,T,251129,152333,59.1157761N,18.1102814E,42,2.5,235
6,T,251129,152334,59.1157735N,18.1102718E,41,2.4,237
7,T,251129,152335,59.1157722N,18.1102660E,41,2.2,245
8,T,251129,152336,59.1157712N,18.1102600E,41,2.2,244
9,T,251129,152337,59.1157690N,18.1102490E,40,2.2,260
10,T,251129,152338,59.1157656N,18.1102328E,41,2.5,239
11,T,251129,152339,59.1157617N,18.1102157E,41,2.5,233
12,T,251129,152340,59.1157575N,18.1102005E,40,2.7,226
13,C,251129,152341,59.1157532N,18.1101878E,40,2.9,249
14,T,251129,152341,59.1157532N,18.1101878E,40,2.9,249
15,T,251129,152342,59.1157518N,18.1101777E,40,2.7,215
16,T,251129,152343,59.1157515N,18.1101689E,40,2.7,251
17,T,251129,152344,59.1157528N,18.1101602E,40,2.7,241
18,T,251129,152345,59.1157516N,18.1101478E,40,2.7,232
19,T,251129,152346,59.1157503N,18.1101305E,40,2.9,232
20,T,251129,152347,59.1157462N,18.1101111E,40,2.9,255
21,T,251129,152348,59.1157419N,18.1100910E,40,3.1,254
22,T,251129,152349,59.1157382N,18.1100697E,40,3.3,261
23,T,251129,152350,59.1157355N,18.1100465E,40,3.5,251
24,T,251129,152351,59.1157324N,18.1100240E,40,3.5,250
25,T,251129,152352,59.1157294N,18.1100050E,40,3.5,259
26,T,251129,152353,59.1157265N,18.1099874E,40,3.7,251
27,T,251129,152354,59.1157244N,18.1099685E,40,3.7,256
28,T,251129,152355,59.1157214N,18.1099499E,40,3.7,251
29,T,251129,152356,59.1157183N,18.1099319E,40,3.7,245
30,T,251129,152357,59.1157145N,18.1099139E,40,3.8,244
31,T,251129,152358,59.1157097N,18.1098959E,40,3.8,253
32,T,251129,152359,59.1157051N,18.1098748E,40,4.0,252
33,T,251129,152400,59.1157002N,18.1098535E,40,4.0,263
34,T,251129,152401,59.1156976N,18.1098269E,40,4.2,261
35,T,251129,152402,59.1156952N,18.1098030E,40,4.2,259
36,T,251129,152403,59.1156947N,18.1097793E,40,4.2,270
37,T,251129,152404,59.1156936N,18.1097588E,40,4.2,271
38,T,251129,152405,59.1156926N,18.1097373E,40,4.2,269
39,T,251129,152406,59.1156910N,18.1097152E,40,4.4,251
40,T,251129,152407,59.1156889N,18.1096948E,40,4.2,254
41,T,251129,152408,59.1156871N,18.1096730E,40,4.2,268
