INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
42,T,251129,152409,59.1156860N,18.1096545E,40,4.2,282
43,T,251129,152410,59.1156858N,18.1096364E,40,4.0,263
44,T,251129,152411,59.1156862N,18.1096208E,39,4.0,282
45,T,251129,152412,59.1156876N,18.1096012E,39,4.0,278
46,T,251129,152413,59.1156896N,18.1095790E,39,4.0,289
47,T,251129,152414,59.1156930N,18.1095576E,39,4.0,292
48,T,251129,152415,59.1156960N,18.1095368E,39,4.0,278
49,C,251129,152416,59.1157011N,18.1095187E,39,4.0,309
50,T,251129,152416,59.1157011N,18.1095187E,39,4.0,309
51,T,251129,152417,59.1157070N,18.1095021E,39,4.2,306
52,T,251129,152418,59.1157146N,18.1094878E,39,4.2,303
53,T,251129,152419,59.1157213N,18.1094728E,39,4.0,306
54,T,251129,152420,59.1157281N,18.1094572E,39,4.0,311
55,T,251129,152421,59.1157352N,18.1094453E,39,4.0,313
56,T,251129,152422,59.1157422N,18.1094328E,40,4.0,298
57,T,251129,152423,59.1157475N,18.1094202E,41,3.8,300
58,T,251129,152424,59.1157515N,18.1094033E,41,4.0,314
59,T,251129,152425,59.1157555N,18.1093868E,41,3.8,299
60,T,251129,152426,59.1157590N,18.1093665E,40,4.0,285
61,T,251129,152427,59.1157609N,18.1093474E,40,4.0,278
62,T,251129,152428,59.1157613N,18.1093263E,40,4.0,266
63,T,251129,152429,59.1157605N,18.1093064E,40,4.0,240
64,T,251129,152429,59.1157568N,18.1092860E,40,4.2,229
65,T,251129,152430,59.1157501N,18.1092680E,40,4.0,226
66,T,251129,152432,59.1157428N,18.1092518E,40,4.2,222
67,T,251129,152433,59.1157366N,18.1092365E,40,4.0,244
68,T,251129,152434,59.1157304N,18.1092212E,40,4.2,218
69,T,251129,152435,59.1157230N,18.1092059E,40,4.0,225
70,T,251129,152436,59.1157158N,18.1091886E,40,4.2,222
71,T,251129,152437,59.1157075N,18.1091710E,40,4.4,240
72,T,251129,152438,59.1156992N,18.1091519E,40,4.2,234
73,T,251129,152439,59.1156902N,18.1091353E,40,4.4,239
74,T,251129,152440,59.1156824N,18.1091178E,40,4.4,222
75,T,251129,152441,59.1156769N,18.1091010E,40,4.6,233
76,T,251129,152442,59.1156710N,18.1090817E,40,4.6,230
77,T,251129,152443,59.1156637N,18.1090666E,40,4.4,220
78,T,251129,152444,59.1156550N,18.1090526E,40,4.4,206
79,T,251129,152445,59.1156468N,18.1090401E,40,4.6,209
80,T,251129,152446,59.1156378N,18.1090254E,40,4.4,227
81,T,251129,152447,59.1156299N,18.1090097E,40,4.6,236
82,T,251129,152448,59.1156247N,18.1089934E,39,4.4,235
83,T,251129,152449,59.1156222N,18.1089779E,39,4.4,231
84,T,251129,152450,59.1156188N,18.1089614E,39,4.4,248
85,T,251129,152451,59.1156147N,18.1089431E,39,4.2,245
86,T,251129,152452,59.1156108N,18.1089249E,39,4.2,246
87,T,251129,152453,59.1156083N,18.1089091E,39,4.2,249
88,T,251129,152454,59.1156057N,18.1088935E,40,4.0,249
89,T,251129,152455,59.1156029N,18.1088756E,39,4.0,241
90,T,251129,152456,59.1155993N,18.1088553E,39,4.2,237
91,T,251129,152457,59.1155946N,18.1088364E,39,4.2,239
92,T,251129,152458,59.1155890N,18.1088174E,39,4.2,238
93,T,251129,152459,59.1155835N,18.1087975E,39,4.2,245
94,T,251129,152500,59.1155793N,18.1087788E,39,4.2,240
95,T,251129,152501,59.1155750N,18.1087609E,39,4.2,236
96,T,251129,152502,59.1155705N,18.1087453E,39,4.0,233
97,T,251129,152503,59.1155644N,18.1087293E,39,4.2,229
98,T,251129,152504,59.1155588N,18.1087113E,39,4.2,238
99,T,251129,152505,59.1155527N,18.1086928E,39,4.2,246
100,T,251129,152506,59.1155464N,18.1086715E,39,4.2,239
101,T,251129,152507,59.1155391N,18.1086509E,39,4.2,239
102,T,251129,152508,59.1155323N,18.1086326E,39,4.2,243
103,T,251129,152509,59.1155250N,18.1086167E,39,4.4,242
104,T,251129,152510,59.1155166N,18.1086013E,39,4.4,263
105,T,251129,152511,59.1155091N,18.1085827E,39,4.6,255
106,T,251129,152512,59.1155037N,18.1085631E,39,4.4,269
107,T,251129,152513,59.1155011N,18.1085389E,39,4.4,261
108,T,251129,152514,59.1154987N,18.1085152E,39,4.4,264
109,T,251129,152515,59.1154971N,18.1084907E,38,4.4,254
110,T,251129,152516,59.1154958N,18.1084725E,38,4.2,288
111,T,251129,152517,59.1154937N,18.1084549E,39,4.2,290
112,T,251129,152518,59.1154934N,18.1084402E,39,4.0,268
113,T,251129,152519,59.1154927N,18.1084233E,39,3.8,261
114,T,251129,152520,59.1154917N,18.1084053E,39,3.8,306
115,T,251129,152521,59.1154936N,18.1083836E,39,4.0,305
116,T,251129,152522,59.1154972N,18.1083600E,39,4.2,301
117,T,251129,152523,59.1155056N,18.1083346E,39,4.4,322
118,T,251129,152524,59.1155122N,18.1083140E,38,4.6,289
119,T,251129,152525,59.1155200N,18.1082955E,38,4.4,339
120,T,251129,152526,59.1155272N,18.1082854E,38,4.4,323
121,T,251129,152527,59.1155362N,18.1082729E,38,4.2,306
122,T,251129,152528,59.1155478N,18.1082613E,38,4.2,324
123,T,251129,152529,59.1155591N,18.1082483E,38,4.8,314
124,T,251129,152530,59.1155713N,18.1082344E,38,4.6,311
125,T,251129,152531,59.1155807N,18.1082208E,39,4.6,315
126,T,251129,152532,59.1155909N,18.1082034E,38,4.6,323
127,T,251129,152533,59.1155979N,18.1081882E,38,4.6,307
128,T,251129,152534,59.1156060N,18.1081709E,39,4.6,318
129,T,251129,152535,59.1156145N,18.1081537E,39,4.6,328
130,T,251129,152536,59.1156241N,18.1081366E,39,4.8,321
131,T,251129,152537,59.1156332N,18.1081225E,37,4.6,305
132,T,251129,152538,59.1156406N,18.1081100E,37,4.8,284
133,T,251129,152539,59.1156444N,18.1080919E,37,4.6,266
134,T,251129,152540,59.1156457N,18.1080708E,37,4.6,266
135,T,251129,152541,59.1156445N,18.1080472E,37,4.6,264
136,C,251129,152542,59.1156430N,18.1080293E,37,4.4,259
137,T,251129,152542,59.1156430N,18.1080293E,38,4.4,259
138,T,251129,152543,59.1156411N,18.1080157E,37,4.0,258
139,T,251129,152544,59.1156394N,18.1080074E,37,3.7,258
140,T,251129,152545,59.1156383N,18.1080000E,37,3.5,258
141,G,251129,153350,59.1156401N,18.1078965E,39,2.4,279
142,T,251129,153351,59.1156419N,18.1078894E,39,2.4,309
143,T,251129,153352,59.1156470N,18.1078780E,39,2.7,345
144,T,251129,153353,59.1156550N,18.1078644E,39,3.3,281
145,T,251129,153354,59.1156660N,18.1078473E,39,3.8,324
146,T,251129,153355,59.1156765N,18.1078264E,38,4.2,315
147,T,251129,153356,59.1156853N,18.1078028E,38,4.6,320
148,T,251129,153357,59.1156930N,18.1077827E,38,4.6,327
149,T,251129,153358,59.1157006N,18.1077656E,38,4.6,328
150,T,251129,153359,59.1157091N,18.1077499E,38,4.8,321
151,T,251129,153400,59.1157180N,18.1077350E,38,4.8,341
152,T,251129,153401,59.1157301N,18.1077219E,38,5.0,325
153,T,251129,153402,59.1157445N,18.1077070E,37,5.3,357
154,T,251129,153403,59.1157605N,18.1076931E,38,5.3,349
155,T,251129,153404,59.1157734N,18.1076809E,38,5.3,326
156,T,251129,153405,59.1157845N,18.1076704E,37,5.3,306
157,T,251129,153406,59.1157920N,18.1076593E,38,5.1,283
158,T,251129,153407,59.1157978N,18.1076452E,38,5.0,203
159,T,251129,153408,59.1157969N,18.1076306E,38,4.6,253
160,T,251129,153409,59.1157929N,18.1076124E,38,4.6,249
161,T,251129,153410,59.1157867N,18.1075912E,38,4.6,242
162,T,251129,153411,59.1157819N,18.1075698E,39,4.6,243
163,T,251129,153412,59.1157779N,18.1075484E,38,4.8,233
164,T,251129,153413,59.1157732N,18.1075282E,39,4.6,238
165,T,251129,153414,59.1157691N,18.1075085E,38,4.6,226
166,T,251129,153415,59.1157642N,18.1074894E,39,4.4,218
167,T,251129,153416,59.1157603N,18.1074738E,39,3.5,218
168,C,251129,153417,59.1157575N,18.1074649E,39,0.1,218
169,T,251129,153419,59.1157546N,18.1074703E,38,1.1,108
170,T,251129,153424,59.1157594N,18.1075069E,38,3.1,81
171,T,251129,153425,59.1157619N,18.1075202E,38,3.3,59
172,T,251129,153426,59.1157683N,18.1075364E,38,3.7,64
173,T,251129,153427,59.1157741N,18.1075563E,38,3.8,67
174,T,251129,153428,59.1157797N,18.1075695E,38,4.0,57
175,T,251129,153429,59.1157824N,18.1075826E,38,3.8,61
176,T,251129,153430,59.1157884N,18.1075992E,38,4.0,66
177,T,251129,153431,59.1157954N,18.1076195E,38,4.2,69
178,T,251129,153432,59.1158028N,18.1076418E,38,4.4,73
179,T,251129,153433,59.1158089N,18.1076599E,38,4.4,42
180,T,251129,153434,59.1158170N,18.1076809E,38,4.6,80
181,T,251129,153435,59.1158226N,18.1077023E,38,4.6,66
182,T,251129,153436,59.1158288N,18.1077227E,38,4.6,63
183,T,251129,153437,59.1158323N,18.1077448E,38,4.6,54
184,T,251129,153438,59.1158391N,18.1077637E,38,4.6,82
185,T,251129,153439,59.1158440N,18.1077871E,39,4.6,83
186,T,251129,153440,59.1158498N,18.1078065E,38,4.6,58
187,T,251129,153441,59.1158545N,18.1078312E,38,4.8,37
188,T,251129,153442,59.1158601N,18.1078536E,38,4.8,48
189,T,251129,153443,59.1158653N,18.1078783E,38,4.8,77
190,T,251129,153444,59.1158698N,18.1078991E,38,4.8,61
191,T,251129,153445,59.1158761N,18.1079205E,38,4.8,67
192,T,251129,153446,59.1158813N,18.1079406E,38,4.8,82
193,T,251129,153447,59.1158863N,18.1079620E,38,5.0,34
194,T,251129,153448,59.1158914N,18.1079839E,38,4.8,51
195,T,251129,153449,59.1158983N,18.1080058E,38,4.8,75
196,T,251129,153450,59.1159056N,18.1080282E,38,5.0,62
197,T,251129,153451,59.1159108N,18.1080508E,38,4.8,68
198,T,251129,153452,59.1159143N,18.1080751E,38,5.0,72
199,T,251129,153453,59.1159180N,18.1081004E,38,5.1,44
200,T,251129,153454,59.1159238N,18.1081246E,38,5.1,64
201,T,251129,153455,59.1159313N,18.1081484E,38,5.1,59
202,T,251129,153456,59.1159375N,18.1081684E,37,5.0,66
203,T,251129,153457,59.1159425N,18.1081887E,38,5.0,72
204,T,251129,153458,59.1159471N,18.1082065E,38,4.8,63
205,T,251129,153459,59.1159522N,18.1082280E,38,5.0,50
206,T,251129,153500,59.1159567N,18.1082528E,38,4.8,60
207,T,251129,153501,59.1159617N,18.1082791E,38,5.0,56
208,T,251129,153502,59.1159673N,18.1083042E,38,5.1,59
209,T,251129,153503,59.1159734N,18.1083291E,38,5.1,59
210,T,251129,153504,59.1159788N,18.1083546E,37,5.1,70
211,T,251129,153505,59.1159840N,18.1083806E,38,5.0,61
212,T,251129,153506,59.1159902N,18.1084048E,38,5.0,36
213,T,251129,153507,59.1159967N,18.1084270E,37,5.1,48
214,T,251129,153508,59.1160047N,18.1084470E,37,5.1,44
215,T,251129,153509,59.1160129N,18.1084671E,37,5.1,57
216,T,251129,153510,59.1160202N,18.1084882E,37,5.0,61
217,T,251129,153511,59.1160261N,18.1085089E,37,5.1,65
218,T,251129,153512,59.1160309N,18.1085332E,37,5.1,61
219,T,251129,153513,59.1160361N,18.1085591E,37,5.3,63
220,T,251129,153514,59.1160418N,18.1085871E,38,5.1,62
221,T,251129,153515,59.1160466N,18.1086087E,38,5.1,52
222,T,251129,153516,59.1160514N,18.1086339E,38,5.1,78
223,T,251129,153517,59.1160556N,18.1086571E,38,5.1,70
224,T,251129,153518,59.1160587N,18.1086820E,38,5.3,78
225,T,251129,153519,59.1160616N,18.1087061E,38,5.1,47
226,T,251129,153520,59.1160647N,18.1087318E,38,5.1,53
227,C,251129,153521,59.1160688N,18.1087583E,38,5.0,65
228,T,251129,153521,59.1160688N,18.1087583E,38,5.0,65
229,T,251129,153522,59.1160737N,18.1087793E,38,5.0,61
230,T,251129,153523,59.1160770N,18.1087980E,38,4.8,94
231,T,251129,153524,59.1160770N,18.1088144E,38,4.8,122
232,T,251129,153525,59.1160724N,18.1088330E,38,4.6,124
233,T,251129,153526,59.1160659N,18.1088509E,38,4.6,150
234,T,251129,153527,59.1160578N,18.1088668E,38,4.8,134
235,T,251129,153528,59.1160494N,18.1088813E,38,4.6,135
236,T,251129,153529,59.1160398N,18.1088944E,38,4.8,172
237,T,251129,153530,59.1160299N,18.1089074E,38,5.0,141
238,T,251129,153531,59.1160198N,18.1089203E,38,5.0,140
239,T,251129,153532,59.1160084N,18.1089363E,38,5.0,141
240,T,251129,153533,59.1159976N,18.1089506E,38,5.0,150
241,T,251129,153534,59.1159869N,18.1089622E,38,4.8,140
242,T,251129,153535,59.1159762N,18.1089706E,38,4.8,148
243,T,251129,153536,59.1159647N,18.1089804E,38,4.8,145
244,T,251129,153537,59.1159542N,18.1089907E,38,4.8,140
245,T,251129,153538,59.1159435N,18.1090067E,38,5.1,142
246,T,251129,153539,59.1159323N,18.1090255E,38,5.1,141
247,T,251129,153540,59.1159194N,18.1090457E,38,5.3,159
248,T,251129,153541,59.1159074N,18.1090595E,38,5.1,161
249,T,251129,153542,59.1158952N,18.1090699E,38,5.1,159
250,T,251129,153543,59.1158840N,18.1090790E,38,5.1,140
251,T,251129,153544,59.1158720N,18.1090933E,37,5.1,136
252,T,251129,153545,59.1158623N,18.1091082E,37,5.1,138
253,T,251129,153546,59.1158514N,18.1091290E,37,5.1,113
254,T,251129,153547,59.1158422N,18.1091508E,38,5.1,146
255,T,251129,153548,59.1158319N,18.1091724E,37,5.5,137
256,T,251129,153549,59.1158233N,18.1091927E,37,5.9,115
257,T,251129,153550,59.1158143N,18.1092147E,37,5.7,117
258,T,251129,153551,59.1158064N,18.1092406E,37,5.5,121
259,T,251129,153552,59.1158002N,18.1092631E,37,5.5,137
260,T,251129,153553,59.1157934N,18.1092827E,37,5.3,124
261,T,251129,153554,59.1157851N,18.1093031E,37,5.7,125
262,T,251129,153555,59.1157743N,18.1093274E,37,5.9,127
263,T,251129,153556,59.1157641N,18.1093549E,37,5.7,122
264,T,251129,153557,59.1157548N,18.1093807E,37,5.7,119
265,T,251129,153558,59.1157473N,18.1094037E,37,5.7,139
266,T,251129,153559,59.1157410N,18.1094210E,37,5.5,130
267,T,251129,153600,59.1157349N,18.1094394E,37,5.3,124
268,T,251129,153601,59.1157288N,18.1094573E,37,5.1,133
269,C,251129,153602,59.1157222N,18.1094774E,37,5.1,127
270,T,251129,153602,59.1157222N,18.1094774E,37,5.1,127
271,T,251129,153603,59.1157159N,18.1094952E,37,5.0,114
272,T,251129,153604,59.1157097N,18.1095149E,37,5.0,117
273,T,251129,153605,59.1157038N,18.1095331E,37,4.8,88
274,T,251129,153606,59.1156992N,18.1095528E,37,4.8,107
275,T,251129,153607,59.1156954N,18.1095716E,37,5.1,96
276,T,251129,153608,59.1156935N,18.1095964E,37,5.1,87
277,T,251129,153609,59.1156927N,18.1096217E,37,5.0,83
278,T,251129,153610,59.1156934N,18.1096420E,37,4.8,86
279,T,251129,153611,59.1156938N,18.1096569E,37,4.8,107
280,T,251129,153612,59.1156927N,18.1096730E,37,4.6,110
281,T,251129,153613,59.1156907N,18.1096934E,37,4.6,95
282,T,251129,153614,59.1156892N,18.1097179E,37,4.8,87
283,T,251129,153615,59.1156883N,18.1097444E,37,4.8,86
284,T,251129,153616,59.1156873N,18.1097773E,37,5.1,85
285,T,251129,153617,59.1156862N,18.1098091E,37,5.1,90
286,T,251129,153618,59.1156862N,18.1098392E,37,5.1,78
287,T,251129,153619,59.1156876N,18.1098673E,37,5.1,83
288,T,251129,153620,59.1156902N,18.1098948E,37,5.3,79
289,T,251129,153621,59.1156948N,18.1099231E,36,5.5,77
290,T,251129,153622,59.1157016N,18.1099478E,36,5.5,74
291,T,251129,153623,59.1157087N,18.1099737E,36,5.5,71
292,T,251129,153624,59.1157146N,18.1100001E,36,5.3,67
293,T,251129,153625,59.1157194N,18.1100277E,36,5.3,63
294,T,251129,153626,59.1157242N,18.1100511E,36,5.5,62
295,T,251129,153627,59.1157301N,18.1100720E,36,5.3,59
296,T,251129,153628,59.1157382N,18.1100907E,36,5.3,57
297,T,251129,153629,59.1157462N,18.1101137E,36,5.3,65
298,T,251129,153630,59.1157531N,18.1101377E,36,5.3,60
299,T,251129,153631,59.1157578N,18.1101619E,36,5.3,70
300,T,251129,153632,59.1157623N,18.1101826E,36,5.3,69
301,T,251129,153633,59.1157674N,18.1102046E,36,5.3,61
302,T,251129,153634,59.1157735N,18.1102308E,37,5.3,64
303,T,251129,153635,59.1157810N,18.1102592E,37,5.5,66
304,T,251129,153636,59.1157888N,18.1102865E,37,5.5,64
305,T,251129,153637,59.1157945N,18.1103134E,36,5.5,61
